,Applied Mathematics - I V,Analysis Of Algorithms,Computer Organization And Architecture,Computer Graphics,Operating System,CGPA,Pass/fail
0,51.0,49.0,32.0,32.0,34.0,5.44,1
1,0,0,0,0,0,0,0
2,32.0,0,0,0,0,4.74,1
3,41.0,0,0,0,0,5.48,1
4,0,0,0,0,0,0,0
5,74.0,50.0,50.0,61.0,57.0,8.52,1
6,40.0,42.0,39.0,48.0,72.0,7.41,1
7,65.0,57.0,44.0,47.0,69.0,8.59,1
8,72.0,37.0,50.0,63.0,62.0,8.48,1
9,0,0,0,0,0,0,0
10,72.0,62.0,44.0,62.0,69.0,8.96,1
11,72.0,51.0,35.0,53.0,59.0,0,0
12,73.0,65.0,44.0,65.0,70.0,9.41,1
13,66.0,52.0,45.0,64.0,71.0,0,0
14,54.0,64.0,40.0,66.0,71.0,8.7,1
15,61.0,52.0,54.0,69.0,74.0,8.89,1
16,74.0,48.0,54.0,67.0,65.0,9.22,1
17,53.0,60.0,32.0,58.0,63.0,8.26,1
18,70.0,50.0,41.0,65.0,72.0,8.11,1
19,,,,,,0,0
20,0,0,0,0,0,0,0
21,55.0,49.0,49.0,56.0,68.0,8.11,1
22,69.0,55.0,45.0,57.0,68.0,8.78,1
23,55.0,50.0,42.0,61.0,60.0,0,0
24,41.0,53.0,33.0,47.0,60.0,7.19,1
25,0,0,0,0,0,0,0
26,56.0,57.0,49.0,70.0,68.0,8.85,1
27,63.0,48.0,32.0,67.0,59.0,8.04,1
28,75.0,65.0,50.0,51.0,70.0,0,0
29,77.0,60.0,40.0,55.0,67.0,9.11,1
30,59.0,63.0,42.0,71.0,72.0,9.0,1
31,46.0,53.0,32.0,55.0,60.0,7.48,1
32,59.0,54.0,41.0,72.0,67.0,8.56,1
33,73.0,58.0,64.0,71.0,68.0,9.7,1
34,0,0,0,0,0,0,0
35,66.0,50.0,35.0,56.0,56.0,7.93,1
36,32.0,32.0,32.0,52.0,49.0,6.15,1
37,80.0,62.0,51.0,69.0,68.0,9.56,1
38,43.0,36.0,38.0,50.0,63.0,7.41,1
39,0,0,0,0,0,0,0
40,61.0,42.0,37.0,66.0,61.0,7.48,1
41,72.0,43.0,44.0,64.0,59.0,8.67,1
42,61.0,66.0,39.0,64.0,71.0,9.22,1
43,63.0,55.0,45.0,69.0,62.0,8.63,1
44,50.0,40.0,32.0,44.0,51.0,6.7,1
45,43.0,59.0,36.0,67.0,71.0,8.41,1
46,80.0,69.0,42.0,70.0,65.0,9.56,1
47,65.0,48.0,38.0,61.0,64.0,8.3,1
48,47.0,42.0,32.0,49.0,61.0,7.04,1
49,60.0,68.0,43.0,72.0,64.0,8.74,1
50,69.0,64.0,42.0,64.0,70.0,9.41,1
51,69.0,62.0,40.0,59.0,61.0,9.26,1
52,79.0,67.0,55.0,71.0,71.0,9.7,1
53,66.0,54.0,45.0,55.0,70.0,8.37,1
54,69.0,62.0,35.0,58.0,61.0,8.59,1
55,59.0,64.0,39.0,47.0,61.0,7.85,1
56,59.0,72.0,43.0,70.0,71.0,9.19,1
57,73.0,62.0,36.0,58.0,64.0,8.59,1
58,0,0,0,0,0,0,0
59,53.0,60.0,34.0,66.0,66.0,8.44,1
60,60.0,65.0,39.0,66.0,55.0,8.41,1
61,46.0,73.0,53.0,60.0,61.0,8.41,1
62,59.0,42.0,32.0,57.0,41.0,7.04,1
63,59.0,55.0,45.0,52.0,65.0,8.04,1
64,44.0,64.0,40.0,63.0,63.0,8.04,1
65,40.0,54.0,44.0,60.0,65.0,8.22,1
66,61.0,65.0,46.0,69.0,70.0,9.19,1
67,0,0,0,0,0,0,0
68,61.0,59.0,32.0,60.0,66.0,8.59,1
69,66.0,54.0,38.0,55.0,53.0,7.52,1
70,63.0,53.0,39.0,52.0,65.0,7.96,1
71,63.0,71.0,57.0,55.0,72.0,8.67,1
72,59.0,70.0,37.0,53.0,56.0,8.04,1
73,54.0,62.0,39.0,50.0,72.0,7.96,1
74,48.0,63.0,37.0,66.0,70.0,8.59,1
75,78.0,70.0,42.0,74.0,68.0,9.41,1
76,56.0,66.0,40.0,61.0,65.0,8.56,1
77,60.0,70.0,39.0,67.0,58.0,8.63,1
78,54.0,60.0,36.0,50.0,56.0,7.52,1
79,60.0,66.0,50.0,58.0,71.0,9.04,1
